Brand,quantity,Prices,Price,ean13,description,name,image,option,category
Christian Dior,254,187.5,750,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Electric Blue            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Smooth perforated detail textured leather            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Pointed toe shape            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Bucklestrap vamp            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather sole            </span>            </span>                                                                                                                                                                                 <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           332900901           </span>    </span>,Christian Dior electric blue textured leather ballet flats,/d/w/332900901.jpg|||/d/w/332900901_alt01.jpg|||/d/w/332900901_alt02.jpg|||/d/w/332900901_alt03.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Loafers and Flats|||Ballet & Flats|||Christian Dior electric blue textured leather ballet flats
Christian Dior,254,342.5,1370,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Black            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Smooth leather upper with cannage leather shaft            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rounded toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Treaded rubber sole            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            2'' block heel with logo engraved silver plate            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Shaft measures 15'' tall and 15?'' around widest point            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            All measurements are approximate            </span>            </span>                                                                                                                                 <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           345019801           </span>    </span>,Christian Dior black leather cannage detail boots,/d/w/345019801.jpg|||/d/w/345019801_alt01.jpg|||/d/w/345019801_alt02.jpg|||/d/w/345019801_alt03.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Boots|||Flat Boots|||Christian Dior black leather cannage detail boots
Christian Dior,254,153.75,615,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Brown            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Soft suede upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rounded toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Cushioned ribbed opening            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rubber sole            </span>            </span>                                                                                                                                                                                 <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Suede;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           329214901           </span>    </span>,Christian Dior brown suede lace up hi top sneakers,/d/w/329214901.jpg|||/d/w/329214901_alt01.jpg|||/d/w/329214901_alt02.jpg|||/d/w/329214901_alt03.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Sneakers|||Christian Dior brown suede lace up hi top sneakers
Christian Dior,254,271.25,1085,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Black            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Supple leather upper with polished silvertone hardware            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Almond toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Decorative buckle at side and quilting at rear; side zip closure with logo engraved pull            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather sole features raised logo lettering            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            3?'' covered heel            </span>            </span>                                                                                        <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            All measurements are approximate            </span>            </span>                                                                                                         <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           347672201           </span>    </span>,Christian Dior black leather buckle detail ankle booties,/d/w/347672201.jpg|||/d/w/347672201_alt01.jpg|||/d/w/347672201_alt02.jpg|||/d/w/347672201_alt03.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Boots|||Christian Dior black leather buckle detail ankle booties
Christian Dior,254,168.75,675,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Black            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Smooth leather upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rounded toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Silvertone logo at back heel            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather sole            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            1'' front platform            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            4'' heel            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            All measurements are approximate            </span>            </span>                                                                                                         <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           329213301           </span>    </span>,Christian Dior black leather platform pumps,/d/w/329213301.jpg|||/d/w/329213301_alt01.jpg|||/d/w/329213301_alt02.jpg|||/d/w/329213301_alt03.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Pumps & High Heels|||Christian Dior black leather platform pumps
Christian Dior,254,152.5,610,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Black            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Soft signature quilted leather upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rounded toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Grosgrain bow detail at toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather sole            </span>            </span>                                                                                                                                                                                 <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           329218201           </span>    </span>,Christian Dior black leather bow detail flats,/d/w/329218201.jpg|||/d/w/329218201_alt01.jpg|||/d/w/329218201_alt02.jpg|||/d/w/329218201_alt03.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Loafers and Flats|||Christian Dior black leather bow detail flats
Christian Dior,254,153.75,615,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Black            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Soft suede upper; cushioned opening            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rounded toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Lace up vamp            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rubber sole            </span>            </span>                                                                                                                                                                                 <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Suede;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           329215001           </span>    </span>,Christian Dior black suede lace up hi top sneakers,/d/w/329215001.jpg|||/d/w/329215001_alt02.jpg|||/d/w/329215001_alt03.jpg|||/d/w/329215001_alt04.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Sneakers|||Christian Dior black suede lace up hi top sneakers
Christian Dior,254,340,1360,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Black            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Grained leather upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rounded toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Buckle adjustable strap at shaft opening features silvertone chain with logo charm            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather sole            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            3?'' thick covered heel            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Shaft measures 15'' tall and 6?'' around widest point            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            All measurements are approximate            </span>            </span>                                                                                                         <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           322104301           </span>    </span>,Christian Dior black grained leather chain strapped boots,/d/w/322104301.jpg|||/d/w/322104301_alt01.jpg|||/d/w/322104301_alt02.jpg|||/d/w/322104301_alt03.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Boots|||Christian Dior black grained leather chain strapped boots
Christian Dior,254,342.5,1370,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Black            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Smooth leather upper with suede sleeve over shaft            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rounded toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather sole            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            4?'' stacked block heel            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Shaft measures 15'' tall and 15'' around widest point            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            All measurements are approximate            </span>            </span>                                                                                                                                 <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           333512501           </span>    </span>,Christian Dior black leather and suede block heel boots,/d/w/333512501.jpg|||/d/w/333512501_alt01.jpg|||/d/w/333512501_alt02.jpg|||/d/w/333512501_alt03.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Boots|||Christian Dior black leather and suede block heel boots
Christian Dior,254,258.75,1035,,"<span class=""pdpBulletContainer"">            <span class=""pdpBulletHeaderText"">            color:            </span>            <span class=""pdpBulletContentsText"">            Black / Leopard            </span>            </span>                                                                <span class=""pdpBulletContainer"">            <span class=""pdpBulletContentsText"">            Soft suede and leopard print, dyed calf hair; Fur Origin - Italy            </span>            </span>                                                                <span class=""pdpBulletContainer"">            <span class=""pdpBulletContentsText"">            Pointed cap toe            </span>            </span>                                                                <span class=""pdpBulletContainer"">            <span class=""pdpBulletContentsText"">            Leather lining            </span>            </span>                                                                <span class=""pdpBulletContainer"">            <span class=""pdpBulletContentsText"">            Leather sole            </span>            </span>                                                                <span class=""pdpBulletContainer"">            <span class=""pdpBulletContentsText"">            4'' tapered heel            </span>            </span>                                                                <span class=""pdpBulletContainer"">            <span class=""pdpBulletContentsText"">            All measurements are approximate            </span>            </span>                                                                                                                <span class=""pdpBulletContainer"">            <span class=""pdpBulletContentsText"">            This item cannot be shipped outside of the US            </span>            </span>                                                                                 <span class=""pdpBulletContainer"">            <span class=""pdpBulletContentsText"">            Suede / Dyed Calf Hair;            </span>            </span>                                                                                       <span class=""pdpBulletContainer"">        <span class=""pdpBulletContentsText"">           Italy;           </span>        </span>    <span class=""pdpBulletContainer"">           <span class=""pdpBulletHeaderText"">           style#           </span>          <span class=""pdpBulletContentsText"">           345019601           </span>    </span>",Christian Dior black suede and leopard calf hair pointed toe pumps,/d/w/345019601.jpg|||/d/w/345019601_alt01.jpg|||/d/w/345019601_alt02.jpg|||/d/w/345019601_alt03.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Pumps & High Heels|||Christian Dior black suede and leopard calf hair pointed toe pumps
