Brand,quantity,Prices,Price,ean13,description,name,image,option,category
Gucci,254,147.5,590,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Green            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Soft suede upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rounded moc toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Goldtone horsebit at vamp            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Canvas lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather sole            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            ?" heel            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            All measurements are approximate            </span>            </span>                                                                                                                                 <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Suede;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           334472401           </span>    </span>,Gucci green suede moc toe horsebit slip on loafers,/g/m/334472401.jpg|||/g/m/334472401_alt01.jpg|||/g/m/334472401_alt02.jpg|||/g/m/334472401_alt03.jpg|||/g/m/334472401_alt04.jpg,1:US 8 (EUR 41 - UK 7)|||1:US 8.5 (EUR 41.5 - UK 7.5)|||1:US 9 (EUR 42 - UK 8)|||1:US 9.5 (EUR 42.5 - UK 8.5)|||1:US 10 (EUR 43 - UK 9)|||1:US 10.5 (EUR 43.5 - UK 9.5)|||1:US 11 (EUR 44 - UK 10)|||1:US 12 (EUR 45 - UK 11),Home|||Men|||Loafers & Slip-ons|||Gucci green suede moc toe horsebit slip on loafers
Gucci,254,132.5,530,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Cocoa / Tan            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Colorblock nylon upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rounded toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Lave up vamp            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rubber sole            </span>            </span>                                                                                                                                                                                 <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Nylon / Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           336718801           </span>    </span>,Gucci cocoa and tan nylon high top sneakers,/g/m/336718801.jpg|||/g/m/336718801_alt01.jpg|||/g/m/336718801_alt02.jpg|||/g/m/336718801_alt03.jpg|||/g/m/336718801_alt04.jpg,1:US 8 (EUR 41 - UK 7)|||1:US 8.5 (EUR 41.5 - UK 7.5)|||1:US 9 (EUR 42 - UK 8)|||1:US 9.5 (EUR 42.5 - UK 8.5)|||1:US 10 (EUR 43 - UK 9)|||1:US 10.5 (EUR 43.5 - UK 9.5)|||1:US 11 (EUR 44 - UK 10)|||1:US 12 (EUR 45 - UK 11),Home|||Men|||Sneakers|||Gucci cocoa and tan nylon high top sneakers
Gucci,254,318.75,"1,275.00",,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Brown            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Smooth leather upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rounded toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Dual buckle straps at vamp with silvertone buckles            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Wool lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather sole with diamante embossed rubber patching            </span>            </span>                                                                                                                                                                                 <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           339245501           </span>    </span>,Gucci brown leather monk strap detail wool lined boots,/g/m/339245501.jpg|||/g/m/339245501_alt01.jpg|||/g/m/339245501_alt02.jpg|||/g/m/339245501_alt03.jpg|||/g/m/339245501_alt04.jpg,1:US 8 (EUR 41 - UK 7)|||1:US 8.5 (EUR 41.5 - UK 7.5)|||1:US 9 (EUR 42 - UK 8)|||1:US 9.5 (EUR 42.5 - UK 8.5)|||1:US 10 (EUR 43 - UK 9)|||1:US 10.5 (EUR 43.5 - UK 9.5)|||1:US 11 (EUR 44 - UK 10)|||1:US 12 (EUR 45 - UK 11),Home|||Men|||Boots|||Gucci brown leather monk strap detail wool lined boots
Gucci,254,187.5,750,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Black            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Smooth leather upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rounded toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Polished silvertone horsebit strap at vamp            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather sole            </span>            </span>                                                                                                                                                                                 <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           342849301           </span>    </span>,Gucci black leather horsebit loafers,/g/m/342849301.jpg|||/g/m/342849301_alt01.jpg|||/g/m/342849301_alt02.jpg|||/g/m/342849301_alt03.jpg|||/g/m/342849301_alt04.jpg,1:US 8 (EUR 41 - UK 7)|||1:US 8.5 (EUR 41.5 - UK 7.5)|||1:US 9 (EUR 42 - UK 8)|||1:US 9.5 (EUR 42.5 - UK 8.5)|||1:US 10 (EUR 43 - UK 9)|||1:US 10.5 (EUR 43.5 - UK 9.5)|||1:US 11 (EUR 44 - UK 10)|||1:US 12 (EUR 45 - UK 11),Home|||Men|||Loafers & Slip-ons|||Gucci black leather horsebit loafers
Gucci,254,147.5,590,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Black            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Smooth leather leather with tooling            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rounded cap toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Lace up vamp            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rubber sole            </span>            </span>                                                                                                                                                                                 <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           328277701           </span>    </span>,Gucci black leather cap toe tooled lace up oxfords,/g/m/328277701.jpg|||/g/m/328277701_alt01.jpg|||/g/m/328277701_alt02.jpg|||/g/m/328277701_alt03.jpg|||/g/m/328277701_alt04.jpg,1:US 8 (EUR 41 - UK 7)|||1:US 8.5 (EUR 41.5 - UK 7.5)|||1:US 9 (EUR 42 - UK 8)|||1:US 9.5 (EUR 42.5 - UK 8.5)|||1:US 10 (EUR 43 - UK 9)|||1:US 10.5 (EUR 43.5 - UK 9.5)|||1:US 11 (EUR 44 - UK 10)|||1:US 12 (EUR 45 - UK 11),Home|||Men|||Oxfords|||Gucci black leather cap toe tooled lace up oxfords
Gucci,254,148.75,595,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Brown            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Smooth leather upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rounded moc toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Polished goldtone horsebit at vamp            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Wool lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather sole            </span>            </span>                                                                                                                                                                                 <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           339245001           </span>    </span>,Gucci brown leather horsebit detail wool lined loafers,/g/m/339245001.jpg|||/g/m/339245001_alt01.jpg|||/g/m/339245001_alt02.jpg|||/g/m/339245001_alt03.jpg|||/g/m/339245001_alt04.jpg,1:US 8 (EUR 41 - UK 7)|||1:US 8.5 (EUR 41.5 - UK 7.5)|||1:US 9 (EUR 42 - UK 8)|||1:US 9.5 (EUR 42.5 - UK 8.5)|||1:US 10 (EUR 43 - UK 9)|||1:US 10.5 (EUR 43.5 - UK 9.5)|||1:US 11 (EUR 44 - UK 10)|||1:US 12 (EUR 45 - UK 11),Home|||Men|||Loafers & Slip-ons|||Gucci brown leather horsebit detail wool lined loafers
Gucci,254,148.75,595,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            BLACK            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Smooth leather upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Softly squared cap toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Lace up vamp            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rubber sole            </span>            </span>                                                                                                                                                                                 <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           342849401           </span>    </span>,Gucci black leather cap toe lace up oxfords,/g/m/342849401.jpg|||/g/m/342849401_alt01.jpg|||/g/m/342849401_alt02.jpg|||/g/m/342849401_alt03.jpg|||/g/m/342849401_alt04.jpg,1:US 8 (EUR 41 - UK 7)|||1:US 8.5 (EUR 41.5 - UK 7.5)|||1:US 9 (EUR 42 - UK 8)|||1:US 9.5 (EUR 42.5 - UK 8.5)|||1:US 10 (EUR 43 - UK 9)|||1:US 10.5 (EUR 43.5 - UK 9.5)|||1:US 11 (EUR 44 - UK 10)|||1:US 12 (EUR 45 - UK 11),Home|||Men|||Oxfords|||Gucci black leather cap toe lace up oxfords
Gucci,254,167.5,670,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Black            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Soft grain leather upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Tapered round toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Signature horsebit vamp detail with Gucci stripes            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Soft leather lined            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather sole featuring logo            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            1'' heel            </span>            </span>                                                                                        <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            All measurements are approximate            </span>            </span>                                                                                                         <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           332934801           </span>    </span>,Gucci black 'Caligola' horsebit stripe vamp leather slipons,/g/m/332934801.jpg|||/g/m/332934801_alt01.jpg|||/g/m/332934801_alt02.jpg|||/g/m/332934801_alt03.jpg|||/g/m/332934801_alt04.jpg,1:US 8 (EUR 41 - UK 7)|||1:US 8.5 (EUR 41.5 - UK 7.5)|||1:US 9 (EUR 42 - UK 8)|||1:US 9.5 (EUR 42.5 - UK 8.5)|||1:US 10 (EUR 43 - UK 9)|||1:US 10.5 (EUR 43.5 - UK 9.5)|||1:US 11 (EUR 44 - UK 10)|||1:US 12 (EUR 45 - UK 11),Home|||Men|||Loafers & Slip-ons|||Gucci black 'Caligola' horsebit stripe vamp leather slipons
Gucci,254,160,640,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Light Brown            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Pebbled leather upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rounded moc toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Goldtone horsebit at vamp            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Canvas lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather sole            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            ?" heel            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            All measurements are approximate            </span>            </span>                                                                                                                                 <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           339245201           </span>    </span>,Gucci light brown leathermoc toe horsebit slip on loafers,/g/m/339245201.jpg|||/g/m/339245201_alt01.jpg|||/g/m/339245201_alt02.jpg|||/g/m/339245201_alt03.jpg|||/g/m/339245201_alt04.jpg,1:US 8 (EUR 41 - UK 7)|||1:US 8.5 (EUR 41.5 - UK 7.5)|||1:US 9 (EUR 42 - UK 8)|||1:US 9.5 (EUR 42.5 - UK 8.5)|||1:US 10 (EUR 43 - UK 9)|||1:US 10.5 (EUR 43.5 - UK 9.5)|||1:US 11 (EUR 44 - UK 10)|||1:US 12 (EUR 45 - UK 11),Home|||Men|||Loafers & Slip-ons|||Gucci light brown leathermoc toe horsebit slip on loafers
Gucci,254,187.5,750,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Black            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Smooth leather upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Almond toe shape            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Matte silvertone buckle detail on vamp            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather sole            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            1?'' block heel            </span>            </span>                                                                                        <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            All measurements are approximate            </span>            </span>                                                                                                         <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           342881701           </span>    </span>,Gucci black leather buckle detail slip-on loafers,/g/m/342881701.jpg|||/g/m/342881701_alt01.jpg|||/g/m/342881701_alt02.jpg|||/g/m/342881701_alt03.jpg|||/g/m/342881701_alt04.jpg,1:US 8 (EUR 41 - UK 7)|||1:US 8.5 (EUR 41.5 - UK 7.5)|||1:US 9 (EUR 42 - UK 8)|||1:US 9.5 (EUR 42.5 - UK 8.5)|||1:US 10 (EUR 43 - UK 9)|||1:US 10.5 (EUR 43.5 - UK 9.5)|||1:US 11 (EUR 44 - UK 10)|||1:US 12 (EUR 45 - UK 11),Home|||Men|||Loafers & Slip-ons|||Gucci black leather buckle detail slip-on loafers
