Brand,quantity,spice price,Price,ean13,description,name,image,option,category
Prada,254,148.75,595,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            BLACK            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Smooth suede upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rounded toe shape            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Lace up vamp with raised logo lettering on side            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rubber sole            </span>            </span>                                                                                                                                                                                 <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Suede / Leather / Rubber;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           343321001           </span>    </span>,Prada Sport black suede leather accent logo stamp lace up sneakers,/p/343321001.jpg|||/p/343321001_alt01.jpg|||/p/343321001_alt02.jpg|||/p/343321001_alt03.jpg|||/p/343321001_alt04.jpg,1:US 8 (EUR 41 - UK 7)|||1:US 8.5 (EUR 41.5 - UK 7.5)|||1:US 9 (EUR 42 - UK 8)|||1:US 9.5 (EUR 42.5 - UK 8.5)|||1:US 10 (EUR 43 - UK 9)|||1:US 10.5 (EUR 43.5 - UK 9.5)|||1:US 11 (EUR 44 - UK 10)|||1:US 12 (EUR 45 - UK 11),Home|||Men|||Sneakers|||Prada Prada Sport black suede leather accent logo stamp lace up sneakers
Prada,254,160,640,,"<span class=""pdpBulletContainer"">            <span class=""pdpBulletHeaderText"">            color:            </span>            <span class=""pdpBulletContentsText"">            Black            </span>            </span>                                                                <span class=""pdpBulletContainer"">            <span class=""pdpBulletContentsText"">            Smooth, polished leather upper            </span>            </span>                                                                <span class=""pdpBulletContainer"">            <span class=""pdpBulletContentsText"">            Rounded toe with raised seam            </span>            </span>                                                                <span class=""pdpBulletContainer"">            <span class=""pdpBulletContentsText"">            Penny loafer strap across vamp with embossed logo            </span>            </span>                                                                <span class=""pdpBulletContainer"">            <span class=""pdpBulletContentsText"">            Leather lining            </span>            </span>                                                                <span class=""pdpBulletContainer"">            <span class=""pdpBulletContentsText"">            Rubber sole            </span>            </span>                                                                <span class=""pdpBulletContainer"">            <span class=""pdpBulletContentsText"">            ?'' heel with metal logo tag            </span>            </span>                                                                                        <span class=""pdpBulletContainer"">            <span class=""pdpBulletContentsText"">            All measurements are approximate            </span>            </span>                                                                                                         <span class=""pdpBulletContainer"">            <span class=""pdpBulletContentsText"">            Leather / Rubber;            </span>            </span>                                                                                       <span class=""pdpBulletContainer"">        <span class=""pdpBulletContentsText"">           Italy;           </span>        </span>    <span class=""pdpBulletContainer"">           <span class=""pdpBulletHeaderText"">           style#           </span>          <span class=""pdpBulletContentsText"">           342962801           </span>    </span>",Prada black leather penny loafers,/p/342962801.jpg|||/p/342962801_alt01.jpg|||/p/342962801_alt02.jpg|||/p/342962801_alt03.jpg|||/p/342962801_alt04.jpg,1:US 8 (EUR 41 - UK 7)|||1:US 8.5 (EUR 41.5 - UK 7.5)|||1:US 9 (EUR 42 - UK 8)|||1:US 9.5 (EUR 42.5 - UK 8.5)|||1:US 10 (EUR 43 - UK 9)|||1:US 10.5 (EUR 43.5 - UK 9.5)|||1:US 11 (EUR 44 - UK 10)|||1:US 12 (EUR 45 - UK 11),Home|||Men|||Loafers & Slip-ons|||Prada black leather penny loafers
Prada,254,165,660,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Black            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Smooth and polished leather upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Square toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Raised seam detail at edges            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Lace-up vamp            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lined            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather and rubber sole            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            ?'' heel            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            All measurements are approximate            </span>            </span>                                                                                                         <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           344272201           </span>    </span>,Prada black glazed leather square toe oxfords,/p/344272201.jpg|||/p/344272201_alt01.jpg|||/p/344272201_alt02.jpg|||/p/344272201_alt03.jpg,1:US 8 (EUR 41 - UK 7)|||1:US 8.5 (EUR 41.5 - UK 7.5)|||1:US 9 (EUR 42 - UK 8)|||1:US 9.5 (EUR 42.5 - UK 8.5)|||1:US 10 (EUR 43 - UK 9)|||1:US 10.5 (EUR 43.5 - UK 9.5)|||1:US 11 (EUR 44 - UK 10)|||1:US 12 (EUR 45 - UK 11),Home|||Men|||Oxfords|||Prada black glazed leather square toe oxfords
Prada,254,155,620,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Black            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Smooth leather upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rounded toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Raised silvertone logo at vamp            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rubber sole            </span>            </span>                                                                                                                                                                                 <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           334556501           </span>    </span>,Prada Sport black leather raised logo slip on loafers,/p/334556501.jpg|||/p/334556501_alt01.jpg|||/p/334556501_alt02.jpg|||/p/334556501_alt03.jpg|||/p/334556501_alt04.jpg,1:US 8 (EUR 41 - UK 7)|||1:US 8.5 (EUR 41.5 - UK 7.5)|||1:US 9 (EUR 42 - UK 8)|||1:US 9.5 (EUR 42.5 - UK 8.5)|||1:US 10 (EUR 43 - UK 9)|||1:US 10.5 (EUR 43.5 - UK 9.5)|||1:US 11 (EUR 44 - UK 10)|||1:US 12 (EUR 45 - UK 11),Home|||Men|||Loafers & Slip-ons|||Prada Prada Sport black leather raised logo slip on loafers
Prada,254,165,660,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Black            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Smooth leather upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rounded toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather sole with rubber patch            </span>            </span>                                                                                                                                                                                                         <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           334715101           </span>    </span>,Prada black leather slip on loafers,/p/334715101.jpg|||/p/334715101_alt01.jpg|||/p/334715101_alt02.jpg|||/p/334715101_alt03.jpg|||/p/334715101_alt04.jpg,1:US 8 (EUR 41 - UK 7)|||1:US 8.5 (EUR 41.5 - UK 7.5)|||1:US 9 (EUR 42 - UK 8)|||1:US 9.5 (EUR 42.5 - UK 8.5)|||1:US 10 (EUR 43 - UK 9)|||1:US 10.5 (EUR 43.5 - UK 9.5)|||1:US 11 (EUR 44 - UK 10)|||1:US 12 (EUR 45 - UK 11),Home|||Men|||Loafers & Slip-ons|||Prada black leather slip on loafers
Prada,254,172.5,690,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Black            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Shined leather loafer            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rounded toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Metal logo strap at vamp            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rubber sole            </span>            </span>                                                                                                                                                                                 <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           334090901           </span>    </span>,Prada black leather metal logo strap loafers,/p/334090901.jpg|||/p/334090901_alt01.jpg|||/p/334090901_alt02.jpg|||/p/334090901_alt03.jpg|||/p/334090901_alt04.jpg,1:US 8 (EUR 41 - UK 7)|||1:US 8.5 (EUR 41.5 - UK 7.5)|||1:US 9 (EUR 42 - UK 8)|||1:US 9.5 (EUR 42.5 - UK 8.5)|||1:US 10 (EUR 43 - UK 9)|||1:US 10.5 (EUR 43.5 - UK 9.5)|||1:US 11 (EUR 44 - UK 10)|||1:US 12 (EUR 45 - UK 11),Home|||Men|||Loafers & Slip-ons|||Prada black leather metal logo strap loafers
Prada,254,170,680,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Black            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Smooth leather upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rounded toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Elasticized gussets at vamp; grosgrain pull at rear opening            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rubber sole            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            1'' mid-sole            </span>            </span>                                                                                        <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            All measurements are approximate            </span>            </span>                                                                                                         <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           346590601           </span>    </span>,Prada black leather chelsea boots,/p/346590601.jpg|||/p/346590601_alt01.jpg|||/p/346590601_alt02.jpg|||/p/346590601_alt03.jpg|||/p/346590601_alt04.jpg,1:US 8 (EUR 41 - UK 7)|||1:US 8.5 (EUR 41.5 - UK 7.5)|||1:US 9 (EUR 42 - UK 8)|||1:US 9.5 (EUR 42.5 - UK 8.5)|||1:US 10 (EUR 43 - UK 9)|||1:US 10.5 (EUR 43.5 - UK 9.5)|||1:US 11 (EUR 44 - UK 10)|||1:US 12 (EUR 45 - UK 11),Home|||Men|||Boots|||Prada black leather chelsea boots
Prada,254,155,620,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Black            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Smooth leather upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Softly squared toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Cut-out penny loafer strap at vamp            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Molded rubber sole            </span>            </span>                                                                                                                                                                                 <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Imported;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           343321301           </span>    </span>,Prada Sport black leather penny loafers,/p/343321301.jpg|||/p/343321301_alt01.jpg|||/p/343321301_alt02.jpg|||/p/343321301_alt03.jpg|||/p/343321301_alt04.jpg,1:US 8 (EUR 41 - UK 7)|||1:US 8.5 (EUR 41.5 - UK 7.5)|||1:US 9 (EUR 42 - UK 8)|||1:US 9.5 (EUR 42.5 - UK 8.5)|||1:US 10 (EUR 43 - UK 9)|||1:US 10.5 (EUR 43.5 - UK 9.5)|||1:US 11 (EUR 44 - UK 10)|||1:US 12 (EUR 45 - UK 11),Home|||Men|||Loafers & Slip-ons|||Prada Prada Sport black leather penny loafers
Prada,254,136.25,545,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Black            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Grained leather upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Squared moc toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Penny loafer strap at vamp            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Molded rubber sole            </span>            </span>                                                                                                                                                                                 <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           325411001           </span>    </span>,Prada black leather logo imprint slip-on loafers,/p/325411001.jpg|||/p/325411001_alt01.jpg|||/p/325411001_alt02.jpg|||/p/325411001_alt03.jpg|||/p/325411001_alt04.jpg,1:US 8 (EUR 41 - UK 7)|||1:US 8.5 (EUR 41.5 - UK 7.5)|||1:US 9 (EUR 42 - UK 8)|||1:US 9.5 (EUR 42.5 - UK 8.5)|||1:US 10 (EUR 43 - UK 9)|||1:US 10.5 (EUR 43.5 - UK 9.5)|||1:US 11 (EUR 44 - UK 10)|||1:US 12 (EUR 45 - UK 11),Home|||Men|||Loafers & Slip-ons|||Prada black leather logo imprint slip-on loafers
Prada,254,170,680,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Black            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Suede upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Squared moc toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Logo printed metal strap at vamp            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rubber sole            </span>            </span>                                                                                                                                                                                 <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           343320901           </span>    </span>,Prada black suede classic driving loafers,/p/343320901.jpg|||/p/343320901_alt01.jpg|||/p/343320901_alt02.jpg|||/p/343320901_alt03.jpg|||/p/343320901_alt04.jpg,1:US 8 (EUR 41 - UK 7)|||1:US 8.5 (EUR 41.5 - UK 7.5)|||1:US 9 (EUR 42 - UK 8)|||1:US 9.5 (EUR 42.5 - UK 8.5)|||1:US 10 (EUR 43 - UK 9)|||1:US 10.5 (EUR 43.5 - UK 9.5)|||1:US 11 (EUR 44 - UK 10)|||1:US 12 (EUR 45 - UK 11),Home|||Men|||Loafers & Slip-ons|||Prada black suede classic driving loafers
