brand,quantity,Price,Old-Price,ean13,description,name,image,option,category
Prada,254,247.5,990,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Black            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Soft suede upper with polished silvertone hardware            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Pointed toe features matte tonal studding            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Three hole adjustable ankle strap at opening            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather sole            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            4'' covered stiletto heel            </span>            </span>                                                                                        <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            All measurements are approximate            </span>            </span>                                                                                                         <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           347677001           </span>    </span>,Prada black suede 'Camoscio' studded pointed toe d'orsays,/p/w/347677001.jpg|||/p/w/347677001_alt01.jpg|||/p/w/347677001_alt02.jpg|||/p/w/347677001_alt03.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Pumps & High Heels|||Prada black suede 'Camoscio' studded pointed toe d'orsays
Prada,254,325,"1,300.00",,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Dark Red            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Smooth leather upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rounded toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Stitch detail leather vamp            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather sole            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            4?'' covered block heel            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Shaft measures 15?'' tall and 14?'' around widest point            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            All measurements are approximate            </span>            </span>                                                                                                         <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           345840501           </span>    </span>,Prada dark red leather knee high boots,/p/w/345840501.jpg|||/p/w/345840501_alt01.jpg|||/p/w/345840501_alt02.jpg|||/p/w/345840501_alt03.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Boots|||Prada dark red leather knee high boots
Prada,254,237.5,950,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Black            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Smooth leather upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rounded toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Elastic gussets at sides            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Treaded rubber sole            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            4'' block heel            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            All measurements are approximate            </span>            </span>                                                                                                                                 <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Imported;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           345234301           </span>    </span>,Prada Sport black leather ankle booties,/p/w/345234301.jpg|||/p/w/345234301_alt01.jpg|||/p/w/345234301_alt02.jpg|||/p/w/345234301_alt03.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Boots|||Prada Prada Sport black leather ankle booties
Prada,254,273.75,"1,095.00",,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Bordeaux            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Soft suede upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rounded open toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Anklestrap with goldtone buckle            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Allover gold studding at heel            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather sole            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            4?'' heel            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            All measurements are approximate            </span>            </span>                                                                                                         <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Suede;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           343324601           </span>    </span>,Prada bordeaux suede gold studded anklestrap open toe pumps,/p/w/343324601.jpg|||/p/w/343324601_alt01.jpg|||/p/w/343324601_alt02.jpg|||/p/w/343324601_alt03.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Sandals|||Prada bordeaux suede gold studded anklestrap open toe pumps
Prada,254,222.5,890,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Silver            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Pebbled metallic leather upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Squared toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Oversized tongue with tassel and silvertone chain link strap at vamp            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather sole            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            1?'' pebbled metallic leather covered tapered block heel            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            All measurements are approximate            </span>            </span>                                                                                                                                 <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           342958001           </span>    </span>,Prada silver pebbled leather tassel and chain detail heel loafers,/p/w/342958001.jpg|||/p/w/342958001_alt01.jpg|||/p/w/342958001_alt02.jpg|||/p/w/342958001_alt03.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Pumps & High Heels|||Prada silver pebbled leather tassel and chain detail heel loafers
Prada,254,262.5,"1,050.00",,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Black            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Soft suede upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Square toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Partial side zip closure            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rubber sole            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            1?" covered heel            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Shaft measures 16?'' tall and 13?'' around widest point            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            All measurements are approximate            </span>            </span>                                                                                                         <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Suede;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           351482801           </span>    </span>,Prada black suede tall riding boots,/p/w/351482801.jpg|||/p/w/351482801_alt01.jpg|||/p/w/351482801_alt02.jpg|||/p/w/351482801_alt03.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Boots|||Prada black suede tall riding boots
Prada,254,162.5,650,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Silver / Tan            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Metallic and smooth leather upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Soft square open toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Adjustable t-strap at vamp            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lined            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather sole            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            3?'' block heel            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            All measurements are approximate            </span>            </span>                                                                                                                                 <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           339162001           </span>    </span>,Prada silver and tan leather t-strap sandals,/p/w/339162001.jpg|||/p/w/339162001_alt01.jpg|||/p/w/339162001_alt02.jpg|||/p/w/339162001_alt03.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Sandals|||Prada silver and tan leather t-strap sandals
Prada,254,172.5,690,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Gold            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Cracked metallic leather upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Softly squared moc toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Tassel detail with chain strap at vamp            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather sole            </span>            </span>                                                                                                                                                                                 <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           342956501           </span>    </span>,Prada gold cracked leather tassel and chain detail loafers,/p/w/342956501.jpg|||/p/w/342956501_alt01.jpg|||/p/w/342956501_alt02.jpg|||/p/w/342956501_alt03.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Loafers and Flats|||Prada gold cracked leather tassel and chain detail loafers
Prada,254,162.5,650,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Silver / Black            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Metallic leather upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Pointed toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Bow detail with suede trim vamp            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather sole            </span>            </span>                                                                                                                                                                                 <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           339794501           </span>    </span>,Prada silver metallic leather and black suede accent bow detail flats,/p/w/339794501.jpg|||/p/w/339794501_alt01.jpg|||/p/w/339794501_alt02.jpg|||/p/w/339794501_alt03.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Loafers and Flats|||Prada silver metallic leather and black suede accent bow detail flats
Prada,254,155,620,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Nude            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Shiny patent leather upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Pointed toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lined            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Lightly padded insole            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather sole            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Approximately 2" heel            </span>            </span>                                                                                                                                                         <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           334245301           </span>    </span>,Prada nude patent leather kitten heel pumps,/p/w/334245301.jpg|||/p/w/334245301_alt01.jpg|||/p/w/334245301_alt02.jpg|||/p/w/334245301_alt03.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Pumps & High Heels|||Prada nude patent leather kitten heel pumps
